,Reg of man,Verkiezing,RegeerperiodeVan,RegeerperiodeTot,Referentie bevoegdheidsbesluit in Codex / URL uitslag,Referentie in K,,Naam regering,Naam,Toelichting,SamenstellingVan,SamenstellingTot,VoornaamMandaathouder,AchternaamMandaathouder,Partij,MP/Vice,rang,Titel,Redactioneel kader
395,mandaat,,1992,1995,,,,Van den Brande I.1,Van den Brande I,,,,Hugo,Weckx,CVP,,4,Gemeenschapsminister van Cultuur en Brusselse Aangelegenheden,
396,mandaat,,1992,1995,,,,Van den Brande I.1,Van den Brande I,,,,Luc,Van den Bossche,SP,,5,Gemeenschapsminister van Onderwijs en Ambtenarenzaken,
397,mandaat,,1992,1995,,,,Van den Brande I.1,Van den Brande I,,,,Leona,Detiège,SP,,6,Gemeenschapsminister van Tewerkstelling en Volksgezondheid,
398,mandaat,,1992,1995,,,,Van den Brande I.1,Van den Brande I,,,,Wivina,Demeester-De Meyer,CVP,,7,"Gemeenschapsminister van Financiën en Begroting, Binnenlandse Aangelegenheden, Welzijn en Gezin",
382,regering,,1992,1995,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1001730&param=informatie,BVR 30/1/1992 ,https://kaleidos.vlaanderen.be/vergadering/58bdc8c2-dec1-11e9-aa72-0242c0a80002/agenda/58bdc854-dec1-11e9-aa72-0242c0a80002/agendapunten/58bdd826-dec1-11e9-aa72-0242c0a80002/beslissingen,Van den Brande I.2,Van den Brande I,Eedaflegging Johan Sauwens,1/30/1992,10/19/1992,,,,,,,
383,mandaat,,1992,1995,,,,Van den Brande I.2,Van den Brande I,,,,Luc,Van den Brande,CVP,Voorzitter van de Vlaamse Executieve,1,"Gemeenschapsminister van Economie, KMO, Wetenschapsbeleid, Energie en Externe Betrekkingen",
384,mandaat,,1992,1995,,,,Van den Brande I.2,Van den Brande I,,,,Norbert,De Batselier,SP,Vice-Voorzitter van de Vlaamse Executieve,2,Gemeenschapsminister van Leefmilieu en Huisvesting,
385,mandaat,,1992,1995,,,,Van den Brande I.2,Van den Brande I,,,,Theo,Kelchtermans,CVP,,3,"Gemeenschapsminister van Openbare Werken, Ruimtelijke Ordening en Binnenlandse Aangelegenheden",
386,mandaat,,1992,1995,,,,Van den Brande I.2,Van den Brande I,,,,Hugo,Weckx,CVP,,4,Gemeenschapsminister van Cultuur en Brusselse Aangelegenheden,
387,mandaat,,1992,1995,,,,Van den Brande I.2,Van den Brande I,,,,Luc,Van den Bossche,SP,,5,Gemeenschapsminister van Onderwijs en Ambtenarenzaken,
388,mandaat,,1992,1995,,,,Van den Brande I.2,Van den Brande I,,,,Johan,Sauwens,VU,,6,"Gemeenschapsminister van Verkeer, Buitenlandse Handel en Staatshervorming",
389,mandaat,,1992,1995,,,,Van den Brande I.2,Van den Brande I,,,,Leona,Detiège,SP,,7,Gemeenschapsminister van Sociale Zaken,
390,mandaat,,1992,1995,,,,Van den Brande I.2,Van den Brande I,,,,Wivina,Demeester-De Meyer,CVP,,8,"Gemeenschapsminister van Financiën en Begroting, Gezondheidsinstellingen, Welzijn en Gezin",
373,regering,,1992,1995,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1000171&param=informatie,BVR 20/10/1992,https://kaleidos.vlaanderen.be/vergadering/58c4d7a2-dec1-11e9-aa72-0242c0a80002/agenda/58c4d70c-dec1-11e9-aa72-0242c0a80002/agendapunten/58c4e45e-dec1-11e9-aa72-0242c0a80002/beslissingen,Van den Brande I.2.b,Van den Brande I,bevoegdheidsherverdeling,10/20/1992,12/31/1994,,,,,,,
374,mandaat,,1992,1995,,,,Van den Brande I.2.b,Van den Brande I,,,,Luc,Van den Brande,CVP,Minister-president van de Vlaamse regering,1,"Vlaams minister van Economie, KMO, Wetenschapsbeleid, Energie en Externe Betrekkingen",
375,mandaat,,1992,1995,,,,Van den Brande I.2.b,Van den Brande I,,,,Norbert,De Batselier,SP,Minister vice-president van de Vlaamse regering,2,Vlaams minister van Leefmilieu en Huisvesting,
376,mandaat,,1992,1995,,,,Van den Brande I.2.b,Van den Brande I,,,,Theo,Kelchtermans,CVP,,3,"Vlaams minister van Openbare Werken, Ruimtelijke Ordening en Binnenlandse Aangelegenheden",
377,mandaat,,1992,1995,,,,Van den Brande I.2.b,Van den Brande I,,,,Hugo,Weckx,CVP,,4,Vlaams minister van Cultuur en Brusselse Aangelegenheden,
378,mandaat,,1992,1995,,,,Van den Brande I.2.b,Van den Brande I,,,,Luc,Van den Bossche,SP,,5,Vlaams minister van Onderwijs en Ambtenarenzaken,
379,mandaat,,1992,1995,,,,Van den Brande I.2.b,Van den Brande I,,,,Johan,Sauwens,VU,,6,"Vlaams minister van Verkeer, Buitenlandse Handel en Staatshervorming",
380,mandaat,,1992,1995,,,,Van den Brande I.2.b,Van den Brande I,,,,Leona,Detiège,SP,,7,Vlaams minister van  Tewerkstelling en Sociale Aangelegendheden,
381,mandaat,,1992,1995,,,,Van den Brande I.2.b,Van den Brande I,,,,Wivina,Demeester-De Meyer,CVP,,8,"Vlaams minister van Financiën en Begroting, Gezondheidsinstellingen, Welzijn en Gezin",
365,regering,,1992,1995,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1001921&param=informatie ,BVR 11/1/1995,https://kaleidos.vlaanderen.be/vergadering/58e289dc-dec1-11e9-aa72-0242c0a80002/agenda/58e28978-dec1-11e9-aa72-0242c0a80002/agendapunten/58e2c1b8-dec1-11e9-aa72-0242c0a80002/beslissingen,Van den Brande I.3,Van den Brande I,Leona Detiège ontslagnemend met ingang van 01.01.1995 ,1/1/1995,1/11/1995,,,,,,,
366,mandaat,,1992,1995,,,,Van den Brande I.3,Van den Brande I,,,,Luc,Van den Brande,CVP,Minister-president van de Vlaamse regering,1,"Vlaams minister van Economie, KMO, Wetenschapsbeleid, Energie en Externe Betrekkingen",
367,mandaat,,1992,1995,,,,Van den Brande I.3,Van den Brande I,,,,Norbert,De Batselier,SP,Minister vice-president van de Vlaamse regering,2,Vlaams minister van Leefmilieu en Huisvesting,
368,mandaat,,1992,1995,,,,Van den Brande I.3,Van den Brande I,,,,Theo,Kelchtermans,CVP,,3,"Vlaams minister van Openbare Werken, Ruimtelijke Ordening en Binnenlandse Aangelegenheden",
369,mandaat,,1992,1995,,,,Van den Brande I.3,Van den Brande I,,,,Hugo,Weckx,CVP,,4,Vlaams minister van Cultuur en Brusselse Aangelegenheden,
370,mandaat,,1992,1995,,,,Van den Brande I.3,Van den Brande I,,,,Luc,Van den Bossche,SP,,5,Vlaams minister van Onderwijs en Ambtenarenzaken,
